Name,Link,Image,Drives,PSU,Special Parts,Notes
"""OG"" 
by FlyingT","Printables 
Makerworld",,"4x 3,5""",Flex-ATX,None,"✅Documentation
✅Bill of Materials
ℹ️Assembly Guide (short)"
"""NOOS"" 
by Pokzy",Makerworld,,"4x 3,5"" 
+ 2x 2,5""",Flex-ATX,None,"✅Documentation
✅Bill of Materials
✅Assembly Video"
"""Sleek*"" 
by DIY_3D",Makerworld,,"4x 3,5""",SFX,4x SAS-SATA Adapter,"✅Documentation
✅Bill of Materials
ℹ️Assembly Guide (short)"
"""SASsy*"" 
by JorgeP",Makerworld,,"8x 3,5""",SFX,"8x SAS-SATA Adapter
1x C14 extension","✅Documentation
✅Bill of Materials
ℹ️Assembly Guide (short)"
"""ZimaEx*"" 
by Boris Bourreau",Printables,,"8x 3,5""",Flex-ATX,"8x SAS-SATA Adapter
6x 32cm M6 Rods","ℹ️Documentation (French)
ℹ️Bill of Materials (French)
ℹ️Assembly Guide (French)"
"""APUNAS*"" 
by makerunit",Printables,,"4x 3,5""",SFX,None,"✅Documentation
✅Bill of Materials
✅Assembly Video"
"""APUNAS2*"" 
by makerunit",Printables,,"6x 3,5"" 
+ 3x 2,5""","SFX
SFX-L",None,"✅Documentation
✅Bill of Materials
✅Assembly Video"
"""MASS Free"" 
by Haydn Bao","Printables 
Makerworld",,"8x 3.5” 
+ 3x 2.5”","SFX
SFX-L",None,"✅Documentation
✅Bill of Materials
✅Assembly Guide"
"""MASS Premium"" 
by Haydn Bao","Printables 
Modcase",,"10x 3.5” 
+ 3x 2.5”","SFX
SFX-L",None,"✅Documentation
✅Bill of Materials
✅Assembly Guide"
"""NasHole"" 
by redbeard3303","Printables 
Makerworld",,"6x 3,5"" 
+ 1x 2,5""",SFX,None,"✅Documentation
✅Bill of Materials
✅Assembly Guide"
"""OctaNAS*"" 
by Sin",Makerworld,,"4x 3,5""",Flex-ATX,"4x SAS-SATA Adapter
4x printable Huawei Drive Caddys
1x printable Backplane","❌Documentation
ℹ️Bill of Materials (Chinese)
❌Assembly Guide"
"""N22"" 
by 玩客小曲",Makerworld,,"4x 3,5""",Flex-ATX,4x printable Huawei Drive Caddys,"❌Documentation
ℹ️Bill of Materials (Chinese)
ℹ️Assembly Video (Chinese)"
"""StorageTower*"" 
by Cmarlow",Printables,,"6x 3,5"" 
+ 1x 2,5""","ATX
SFX
SFX-L","6x SAS-SATA Adapter
6x printable Dell Drive Caddys","✅Documentation
❌Bill of Materials
❌Assembly Guide"
"""Inspire*"" 
by Le Labo de Kiko",Printables,,"6x 3,5""",Flex-ATX,6x SAS-SATA Adapter,"✅Documentation
✅Bill of Materials
ℹ️Assembly Video (French)"
"""N1-Knockoff*"" 
by aveluru",Printables,,"4x 3,5""","SFX
SFX-L
Flex-ATX-Addon",8x CoolerMaster HDD rails,"✅Documentation
✅Bill of Materials
❌Assembly Guide"
"""Chungus*"" 
by Providec",Thingiverse,,"8x 3,5"" 
+ 4x 2,5""",TFX,1x Jonsbo N3 Backplane,"✅Documentation
✅Bill of Materials
❌Assembly Guide"
"""Lao Zhang"" 
by 老数码",Makerworld (CN),,"4x 3,5"" 
+ 2x 2,5""",Flex-ATX,4x HP Caddys - 652998-001,"❌Documentation
✅Bill of Materials (Chinese)
❌Assembly Guide"
"""Mod-NAS*"" 
by 野菜",Makerworld (CN),,"4x 3,5"" 
+ 1x 2,5""",Flex-ATX,1x Pico-PSU for Mainboard?,"✅Documentation
✅Bill of Materials
ℹ️Assembly Video (Chinese)"
"""Kubus*"" 
by Ashen3Designs",Makerworld,,"5x 3,5""",Flex-ATX,1x 205mm x 205mm PVC Filter Mesh,"✅Documentation
✅Bill of Materials
✅Assembly Guide"
"""yNAS*"" 
by 耶斯特得",Makerworld,,"4x 3,5""",Flex-ATX,None?,"ℹ️Documentation (Chinese)
ℹ️Bill of Materials (Chinese)
❌Assembly Guide"
"""NAS-4 Dark Edition"" by 
user_1076924975",Makerworld,,"4x 3,5"" 
+ 3x 2,5""",SFX,None?,"ℹ️Documentation (Chinese)
ℹ️Bill of Materials (Chinese)
❌Assembly Guide"
"""NASds"" 
by xytx",Makerworld,,"4x 3,5""",Flex-ATX,None?,"❌Documentation
❌Bill of Materials
❌Assembly Guide"